"Code","Description","Version"
"B67C","DEGNRTV NERV SYS DIS, MINC","9.0"
"B68A","MLT SCLROSIS&CBL ATAXIA, MAJC","9.0"
"B68B","MLT SCLROSIS&CBL ATAXIA, MINC","9.0"
"B69A","TIA & PRECEREBRL OCCLUSN, MAJC","9.0"
"B69B","TIA & PRECEREBRL OCCLUSN, MINC","9.0"
"B70A","STROKE & OTH CEREB DIS, MAJC","9.0"
"B70B","STROKE & OTH CEREB DIS, INTC","9.0"
"B70C","STROKE & OTH CEREB DIS, MINC","9.0"
"3231","Orthopaedic conditions, replacement, FIM motor 72-91","S3"
"3232","Orthopaedic conditions, replacement, FIM motor 49-71","S3"
"3233","Orthopaedic conditions, replacement, FIM motor 14-48","S3"
"3234","Orthopaedic conditions, all other, FIM motor 68-91","S3"
"3235","Orthopaedic conditions, all other, FIM motor 53-67","S3"
"3236","Orthopaedic conditions, all other, FIM motor 14-52","S3"
"3237","Cardiac","S3"
"3238","Major Multiple Trauma, FIM total 101-126","S3"
"3239","Major Multiple Trauma, FIM total 74-100 or Burns","S3"
"3240","Major Multiple Trauma, FIM total 44-73","S3"
"3241","Major Multiple Trauma, FIM total 19-43","S3"
"3242","All other impairments, FIM motor 67-91","S3"
"3243","All other impairments, FIM motor 53-66","S3"
"3244","All other impairments, FIM motor 25-52","S3"
"3245","All other impairments, FIM motor 14-24","S3"
"3251","Brain, Major Multiple Trauma & Pulmonary","S3"
"3252","Burns, Cardiac, Pain, Spine, & Neurological","S3"
"3253","All other impairments","S3"
"3254","Outpatient and community rehabilitation, medical assessment only","S3"
"3255","Outpatient and community rehabilitation, multidisciplinary assessment","S3"
"3256","Outpatient and community rehabilitation, medical treatment only","S3"
"3257","Amputation","S3"
"3258","Brain Injury and Major Multiple Trauma","S3"
"3259","Spinal Injury","S3"
"3260","Stroke and Development Disability, sole practitioner","S3"
"3261","Stroke and Development Disability, multidisciplinary, FIM motor <=80","S3"
"3262","Stroke and Development Disability, multidisciplinary, FIM motor >=81","S3"
"3263","All other impairments, sole practitioner","S3"
"3264","All other impairments, multidisciplinary, FIM motor <=80","S3"
"3265","All other impairments, multidisciplinary, FIM motor >=81","S3"
"3301","Psychogeriatric, admit for assessment only","S3"
"3302","HoNOS 65+ Overactive behaviour 3,4","S3"
"3303","HoNOS 65+ Overactive behaviour 1,2 HoNOS 65+ ADL 4","S3"
"3304","HoNOS 65+ Overactive behaviour 1,2 HoNOS 65+ ADL 0-3","S3"
"3305","HoNOS 65+ Overactive behaviour 0 HoNOS 65+ total>=18","S3"
"3306","HoNOS 65+ Overactive behaviour 0 HoNOS 65+ total<=17","S3"
"3307","Long term care","S3"
"3351","Outpatient psychogeriatric assessment only","S3"
"3352","Assessment Only","S3"
"3353","Treatment, Focus of Care=acute","S3"
"3354","Treatment, Focus of Care=not acute, HoNOS 65+ total <=8","S3"
"3355","Treatment, Focus of Care=not acute, HoNOS 65+ total 9-13","S3"
"3356","Treatment, Focus of Care=not acute, HoNOS 65+ total >=14, HoNOS 65+ Overactive 0,1","S3"
"3357","Treatment, Focus of Care=not acute, HoNOS 65+ total >=14, HoNOS 65+ Overactive 2,3,4","S3"
"3401","GEM admit for assessment only","S3"
"3402","FIM cognition <=15, FIM motor 13-43","S3"
"3403","FIM cognition <=15, FIM motor 44-91, age>=84","S3"
"3404","FIM cognition <=15, FIM motor 44-91, age<=83","S3"
"3405","FIM cognition 16-35, FIM motor 13-50","S3"
"3406","FIM cognition 16-35, FIM motor 51-77","S3"
"3407","FIM cognition 16-35, FIM motor 78-91","S3"
"3451","Same day GEM, assessment Only","S3"
"3452","Outpatient and community GEM, medical assessment only","S3"
"3453","Outpatient and community GEM, multidisciplinary assessment","S3"
"3454","All same day admitted GEM","S3"
"3455","FIM motor <=40","S3"
"3456","FIM motor 41-56","S3"
"3457","FIM motor>=57, sole practitioner","S3"
"3458","FIM motor>=57, multidisciplinary","S3"
"3501","Respite, RUG-ADL 15-18","S3"
"3502","Respite, RUG-ADL 5-14","S3"
"3503","Respite, RUG-ADL 4","S3"
"3504","Nursing Home Type, RUG-ADL 11-18","S3"
"3505","Nursing Home Type, RUG-ADL 4-10","S3"
"3506","Convalescent care","S3"
"3507","Other maintenance, RUG-ADL 14-18","S3"
"3508","Other maintenance, RUG-ADL 4-13","S3"
"3509","Long term care, RUG-ADL 17-18","S3"
"3510","Long term care, RUG-ADL 10-16","S3"
"3511","Long term care, RUG-ADL 4-9","S3"
"3551","Medical only","S3"
"3552","Ambulatory maintenance, nursing assessment only","S3"
"3553","Ambulatory maintenance, psychosocial assessment","S3"
"3554","Ambulatory maintenance, physical therapy assessment","S3"
"3555","Same day and community maintenance, multidisciplinary","S3"
"3556","Outpatient maintenance, multidisciplinary assessment","S3"
"4AA4","Stroke, weighted FIM motor 36-50, Age >= 68","S4"
"4AA5","Stroke, weighted FIM motor 36-50, Age <= 67","S4"
"4AA6","Stroke, weighted FIM motor 19-35, Age >= 68","S4"
"4AA7","Stroke, weighted FIM motor 19-35, Age <= 67","S4"
"4AB1","Brain dysfunction, weighted FIM motor 71-91, FIM cognition 26-35","S4"
"4AB2","Brain dysfunction, weighted FIM motor 71-91, FIM cognition 5-25","S4"
"4AB3","Brain dysfunction, weighted FIM motor 41-70, FIM cognition 26-35","S4"
"4AB4","Brain dysfunction, weighted FIM motor 41-70, FIM cognition 17-25","S4"
"4AB5","Brain dysfunction, weighted FIM motor 41-70, FIM cognition 5-16","S4"
"4AB6","Brain dysfunction, weighted FIM motor 29-40","S4"
"4AB7","Brain dysfunction, weighted FIM motor 19-28","S4"
"4AC1","Neurological conditions, weighted FIM motor 62-91","S4"
"4AC2","Neurological conditions, weighted FIM motor 43-61","S4"
"4AC3","Neurological conditions, weighted FIM motor 19-42","S4"
"4AD1","Spinal cord dysfunction, Age >= 50, weighted FIM motor 42-91","S4"
"4AD2","Spinal cord dysfunction, Age >= 50, weighted FIM motor 19-41","S4"
"4AD3","Spinal cord dysfunction, Age <= 49, weighted FIM motor 34-91","S4"
"4AD4","Spinal cord dysfunction, Age <= 49, weighted FIM motor 19-33","S4"
"4AE1","Amputation of limb, Age >= 54, weighted FIM motor 68-91","S4"
"4AE2","Amputation of limb, Age >= 54, weighted FIM motor 31-67","S4"
"4AE3","Amputation of limb, Age >= 54, weighted FIM motor 19-30","S4"
"4AE4","Amputation of limb, Age <= 53, weighted FIM motor 19-91","S4"
"4AH1","Orthopaedic conditions, fractures, weighted FIM motor 49-91, FIM cognition 33-35","S4"
"4AH2","Orthopaedic conditions, fractures, weighted FIM motor 49-91, FIM cognition 5-32","S4"
"4999","Ungroupable GEM Inpatient","S2"
"501","Respite, RUG 15-18","S2"
"502","Respite, RUG 5-14","S2"
"503","Respite, RUG 4","S2"
"504","Nursing Home Type, RUG 11-18","S2"
"505","Nursing Home Type, RUG 4-10","S2"
"506","Convalescent care","S2"
"507","Other Maintenance, RUG 14-18","S2"
"508","Other Maintenance, RUG 4-13","S2"
"509","Long term care, RUG 17-18","S2"
"510","Long term care, RUG 10-16","S2"
"511","Long term care, RUG 4-9","S2"
"551","Medical Only, all","S2"
"552","Assess, Nursing","S2"
"553","Assess, Psychosocial","S2"
"554","Assess, Physical Therapy","S2"
"555","Assess, Multidisciplinary","S2"
"556","Assess, Multidisciplinary","S2"
"557","Maint/Sup,Nurs,A>=37,R>=5","S2"
"558","Maint/Sup,Nurs,A>=37,R 4","S2"
"559","Maint/Sup,Nurs,A<=36,R>=5","S2"
"560","Maint/Sup,Nurs,A<=36,R 4","S2"
"561","Maint/Sup,Phys Ther,R>=6","S2"
"562","Maint/Sup,Phys Ther,R 4,5","S2"
"563","Maint/Sup,MulDsc.,A>=27,R 4-11","S2"
"564","Maint/Sup,MulDsc.,A>=27,R>=12","S2"
"565","Maint/Sup,MulDsc.,A>=27,R 4-11","S2"
"566","Maint/Sup,MulDsc.,<=26 yrs","S2"
"5998","Ungroupable Maintenance Ambulatory","S2"
"5999","Ungroupable Maintenance Inpatient","S2"
"7999","Ungroupable Boarder Inpatient","S2"
"8998","Ungroupable Other Non Admitted Patient Care","S2"
"8999","Ungroupable Other Admitted Patient Care","S2"
"9999","Ungroupable Organ Procurement Inpatient","S2"
"3101","Palliative care, admit for assessment only","S3"
"3102","Stable phase, RUG-ADL 4","S3"
"3103","Stable phase, RUG-ADL 5-17","S3"
"3104","Stable phase, RUG-ADL 18","S3"
"3105","Unstable phase, RUG-ADL 4-17","S3"
"3106","Unstable phase, RUG-ADL 18","S3"
"3107","Deteriorating phase, RUG-ADL 4-14","S3"
"3108","Deteriorating phase, RUG-ADL 15-18, age <=52","S3"
"3109","Deteriorating phase, RUG-ADL 15-18, age >=53","S3"
"3110","Terminal phase, RUG-ADL 4-16","S3"
"3111","Terminal phase, RUG-ADL 17-18","S3"
"3112","Bereavement phase","S3"
"3151","Medical only","S3"
"3152","Therapies only","S3"
"3153","Stable phase, multidisciplinary","S3"
"3154","Stable phase, nursing only, Palliative Care Problem Severity Score (PCPSS) <=6, RUG-ADL 4, age>=67","S3"
"3155","Stable phase, nursing only, PCPSS <=6, RUG-ADL 4, age<=66","S3"
"3156","Stable phase, nursing only, PCPSS <=6, RUG-ADL 5-18","S3"
"3157","Stable phase, nursing only, PCPSS >=7","S3"
"3158","Unstable phase, multidisciplinary, RUG-ADL 4, PCPSS <=7","S3"
"3159","Unstable phase, multidisciplinary,  RUG-ADL 4, PCPSS >=8","S3"
"3160","Unstable phase, multidisciplinary, RUG-ADL 5-18","S3"
"3161","Unstable phase, nursing only, RUG-ADL <=14, age>=60","S3"
"3162","Unstable phase, nursing only, RUG-ADL <=14, age<=59","S3"
"3163","Unstable phase, nursing only, RUG-ADL >=15","S3"
"3164","Deteriorating phase, multidisciplinary, PCPSS <=6","S3"
"3165","Deteriorating phase, multidisciplinary, PCPSS >=7, RUG<=10","S3"
"3166","Deteriorating phase, multidisciplinary, PCPSS >=7, RUG>=11","S3"
"3167","Deteriorating phase, nursing only, RUG-ADL 4","S3"
"3168","Deteriorating phase, nursing only, RUG-ADL 5-18","S3"
"3169","Terminal phase, multidisciplinary","S3"
"3170","Terminal phase, nursing only","S3"
"3171","Bereavement phase, age >=45","S3"
"3172","Bereavement phase, age <=44","S3"
"3201","Rehabilitation, admit for assessment only","S3"
"3202","Brain, Neurological, Spinal & Major Multiple Trauma, FIM motor 13","S3"
"3203","All other impairments, FIM motor 13","S3"
"3204","Stroke, FIM motor 63-91, FIM cognition 20-35","S3"
"3205","Stroke, FIM motor 63-91, FIM cognition 5-19","S3"
"3206","Stroke, FIM motor 47-62, FIM cognition 16-35","S3"
"3207","Stroke, FIM motor 47-62, FIM cognition 5-15","S3"
"3208","Stroke, FIM motor 14-46, age>=75","S3"
"3209","Stroke, FIM motor 14-46, age<=74","S3"
"3210","Brain Dysfunction, FIM motor 56-91, FIM cognition 32-35","S3"
"3211","Brain Dysfunction, FIM motor 56-91, FIM cognition 24-31","S3"
"3212","Brain Dysfunction, FIM motor 56-91, FIM cognition 20-23","S3"
"3213","Brain Dysfunction, FIM motor 56-91, FIM cognition 5-19","S3"
"3214","Brain Dysfunction, FIM motor 24-55","S3"
"3215","Brain Dysfunction, FIM motor 14-23","S3"
"3216","Neurological, FIM motor 63-91","S3"
"3217","Neurological, FIM motor 49-62","S3"
"3218","Neurological, FIM motor 18-48","S3"
"3557","Maintenance and support, nursing, age>=37, RUG-ADL>=5","S3"
"3558","Maintenance and support, nursing, age>=37, RUG-ADL 4","S3"
"3559","Maintenance and support, nursing, age<=36, RUG-ADL>=5","S3"
"3560","Maintenance and support, nursing, age<=36, RUG-ADL 4","S3"
"3561","Maintenance and support, physical therapy, RUG-ADL>=6","S3"
"3562","Maintenance and support, physical therapy, RUG-ADL 4,5","S3"
"3563","Community maintenance and support, multidisciplinary, age>=27, RUG-ADL 4-11","S3"
"3564","Maintenance and support, multidisciplinary, age>=27, RUG-ADL>=12","S3"
"3565","Outpatient maintenance and support, multidisciplinary, age>=27, RUG-ADL 4-11","S3"
"3566","Maintenance and support, multidisciplinary, <=26 yrs","S3"
"3901","Data error - ungroupable","S3"
"3902","Data error - ungroupable","S3"
"3903","Data error - ungroupable","S3"
"3904","Data error - ungroupable","S3"
"2220","Spnl Cord Dysfnc,Mot 81-91","S2"
"2221","Spnl Cord Dysfnc,Mot 47-80","S2"
"2222","Spnl Cord Dysfnc,Mot 14-46, Age>=33","S2"
"2223","Spnl Cord Dysfnc,Mot 14-46, Age<=32","S2"
"2224","Amp of limb,Mot 72-91","S2"
"2225","Amp of limb,Mot 14-71","S2"
"2226","Pain Syndromes","S2"
"2227","Orthpaed Conds, Fractures, Mot 58-91","S2"
"2228","Orthpaed Conds, Fractures, Mot 48-57","S2"
"2229","Orthpaed Conds, Fractures, Mot 14-47, Cog19-35","S2"
"223","Orthpaed Conds,Mot 74-91","S2"
"2230","Orthpaed Conds, Fractures, Mot 14-47, Cog 5-18","S2"
"2231","Orthpaed Conds, Replcmnt, Mot 72-91","S2"
"2232","Orthpaed Conds, Replcmnt, Mot 49-71","S2"
"2233","Orthpaed Conds, Replcmnt, Mot 14-48","S2"
"2234","Orthpaed Conds, Other, Mot 68-91","S2"
"2235","Orthpaed Conds, Other, Mot 53-67","S2"
"2236","Orthpaed Conds, Other, Mot 14-52","S2"
"2237","Cardiac","S2"
"2238","Major Multiple Trauma, FIMtotal 101-126","S2"
"2239","Major Multiple Trauma, FIMtotal 74-100; or Burns","S2"
"224","Orthpaed Conds,Mot 58-73","S2"
"2240","Major Multiple Trauma, FIMtotal 44-73","S2"
"2241","Major Multiple Trauma, FIMtotal 19-43","S2"
"2242","Oth Impairs,Mot 67-91","S2"
"2243","Oth Impairs,Mot 53-66","S2"
"2244","Oth Impairs,Mot 25-52","S2"
"2245","Oth Impairs,Mot 14-24","S2"
"225","Orthpaed Conds,Mot 52-57","S2"
"226","Orthpaed Conds,Mot 14-51","S2"
"227","Cardiac, motor>=14","S2"
"228","Major Multiple Trauma, motor>=14","S2"
"229","Oth Impairs,Mot 67-91","S2"
"230","Oth Impairs,Mot 53-66","S2"
"2301","Admit for assessment only","S2"
"2302","HoNOS Overactive behaviour 4,5","S2"
"2303","HoNOS Overactive behaviour 2,3, ADL 5","S2"
"2304","HoNOS Overactive behaviour 2,3, ADL 1-4","S2"
"2305","HoNOS Overactive behaviour 1, HoNOS total>=30","S2"
"2306","HoNOS Overactive behaviour 1, HoNOS total<=29","S2"
"2307","Long term care","S2"
"231","Oth Impairs,Mot 25-52","S2"
"232","Oth Impairs,Mot 14-24","S2"
"2401","Admit for assessment only","S2"
"2402","Cognition<=15, motor 13-43","S2"
"2403","Cognition<=15, motor 44-91, age>=84","S2"
"2404","Cognition<=15, motor 44-91, age<=83","S2"
"2405","Cognition 16-35, motor 13-50","S2"
"2406","Cognition 16-35, motor 51-77","S2"
"2407","Cognition 16-35, motor 78-91","S2"
"2501","Admit for assessment only","S2"
"2502","Respite, RUG 15-18","S2"
"2503","Respite, RUG 5-14","S2"
"2504","Respite, RUG 4","S2"
"2505","Nursing Home Type, RUG 11-18","S2"
"2506","Nursing Home Type, RUG 4-10","S2"
"2507","Convalescent care","S2"
"2508","Other Maintenance, RUG 14-18","S2"
"2509","Other Maintenance, RUG 4-13","S2"
"251","Brain, MMT & Pulmonary","S2"
"2510","Long term care, RUG 17-18","S2"
"2511","Long term care, RUG 10-16","S2"
"2512","Long term care, RUG 4-9","S2"
"252","Brns,Card,Pain,Spine,& Neuro","S2"
"253","All other impairments","S2"
"254","Assess, Medical Only","S2"
"255","Assess, Multidisciplinary","S2"
"256","Treat, Medical Only","S2"
"257","Amputation","S2"
"258","Brain Injury and MMT","S2"
"259","Spinal Injury","S2"
"260","Strk & DD,Sole Practitioner","S2"
"261","Strk & DD,Mult,FIM Mot <=80","S2"
"262","Strk & DD,Mult,FIM Mot >=81","S2"
"263","Oth Impairs,Sole Practitioner","S2"
"264","Oth Impairs,Mult,FIM Mot <=80","S2"
"265","Oth Impairs,Mult,FIM Mot >=81","S2"
"2998","Ungroupable Rehabilitation Ambulatory","S2"
"2999","Ungroupable Rehabilitation Inpatient","S2"
"300","Psychogeriatric assessment only","S2"
"301","HoNOS Overactive behaviour 3,4","S2"
"302","HON O'act Behav 1,2,ADL 4","S2"
"303","HON O'act Behav 1,2,ADL 0-3","S2"
"304","HON O'act Behav 0,HON Tot>=18","S2"
"305","HON O'act Behav 0,HON Tot<=17","S2"
"306","Long term care","S2"
"351","Assessment Only","S2"
"352","Assessment Only","S2"
"3219","Neurological, FIM motor 14-17","S3"
"3220","Spinal Cord Dysfunction, FIM motor 81-91","S3"
"3221","Spinal Cord Dysfunction, FIM motor 47-80","S3"
"3222","Spinal Cord Dysfunction, FIM motor 14-46, age>=33","S3"
"3223","Spinal Cord Dysfunction, FIM motor 14-46, age<=32","S3"
"3224","Amputation of limb, FIM motor 72-91","S3"
"3225","Amputation of limb, FIM motor 14-71","S3"
"3226","Pain Syndromes","S3"
"3227","Orthopaedic conditions, fractures, FIM motor 58-91","S3"
"3228","Orthopaedic conditions, fractures, FIM motor 48-57","S3"
"3229","Orthopaedic conditions, fractures, FIM motor 14-47, FIM cognition 19-35","S3"
"3230","Orthopaedic conditions, fractures, FIM motor 14-47, FIM cognition 5-18","S3"
"Y02C","SKIN GRAFT OTHER BURNS, MINC","8.0"
"Y03A","OTH OR PR FOR OTHER BURNS,MAJC","8.0"
"Y03B","OTH OR PR FOR OTHER BURNS,MINC","8.0"
"Y60Z","BURNS, TR<5D","8.0"
"Y61Z","SEVERE BURNS","8.0"
"Y62A","OTHER BURNS, MAJC","8.0"
"Y62B","OTHER BURNS, MINC","8.0"
"Z01A","OTH CNT HLTH SRV +OR PR, MAJC","8.0"
"Z01B","OTH CNT HLTH SRV +OR PR, MINC","8.0"
"Z40Z","OTH CONTCT HLTH SRV +ENDOSC,SD","8.0"
"Z60A","REHABILITATION, MAJC","8.0"
"Z60B","REHABILITATION, MINC","8.0"
"Z61A","SIGNS & SYMPTOMS, MAJC","8.0"
"Z61B","SIGNS & SYMPTOMS, INTC","8.0"
"Z61C","SIGNS & SYMPTOMS, MINC","8.0"
"Z63A","OTH FLLW UP SURG/MED CARE,MAJC","8.0"
"Z63B","OTH FLLW UP SURG/MED CARE,MINC","8.0"
"Z64A","OTH FACTORS INFL HLTH ST, MAJC","8.0"
"Z64B","OTH FACTORS INFL HLTH ST, MINC","8.0"
"Z65Z","CONGNTL ANML&PROB FR NEO PERD","8.0"
"Z66Z","SLEEP DISORDERS","8.0"
"151","Medical only","S2"
"152","Therapies only","S2"
"153","Stable, Multidisciplinary","S2"
"154","Stb,Nurs,S<=10,R 4,A>=67","S2"
"155","Stb,Nurs,S<=10,R 4,A<=66","S2"
"156","Stb,Nurs,S<=10,R 5-18","S2"
"157","Stb,Nurs, S>=11","S2"
"158","UnStb,Mult, R 4,S<=11","S2"
"159","UnStb,Mult, R 4,S>=12","S2"
"160","UnStb,Mult,R 5-18","S2"
"161","UnStb,Nurs,R<=14,A>=60","S2"
"162","UnStb,Nurs,R<=14,A<=59","S2"
"163","UnStb,Nurs,R>=15","S2"
"164","Deter,Mult,S <=10","S2"
"165","Deter,Mult,S>=11,R<=10","S2"
"166","Deter,Mult,S>=11,R>=11","S2"
"167","Deter,Nurs,R 4","S2"
"168","Deter,Nurs,R 5-18","S2"
"169","Terminal, Multidisciplinary","S2"
"170","Terminal, Nursing only","S2"
"171","Bereavement, age >=45","S2"
"172","Bereavement, age <=44","S2"
"1998","Ungroupable Palliative Care Ambulatory","S2"
"1999","Ungroupable Palliative Care Inpatient","S2"
"201","Admit for assessment only","S2"
"202","Brain,Neuro,Spine & MMT,FIM 13","S2"
"203","All other impairments, FIM 13","S2"
"204","Strk/Brns,Mot 63-91,Cog 20-35","S2"
"205","Strk & Brns,Mot 63-91,Cog 5-19","S2"
"206","Stroke and Burns, motor 47-62","S2"
"207","Strk & Brns,Mot 14-46,A>=75","S2"
"208","Strk & Brns,Mot 14-46,A<=74","S2"
"209","Brain Dysfunction, motor 71-91","S2"
"210","Brain Dysfnc,Mot 29-70,A>=55","S2"
"2101","Admit for assessment only","S2"
"2102","Stable, RUG-ADL 4","S2"
"2103","Stable, RUG-ADL 5-17","S2"
"2104","Stable, RUG-ADL 18","S2"
"2105","Unstable, RUG-ADL 4-17","S2"
"2106","Unstable, RUG-ADL 18","S2"
"2107","Deteriorating, RUG-ADL 4-14","S2"
"2108","Deteriorating, RUG-ADL 15-18, age <=52","S2"
"2109","Deteriorating, RUG-ADL 15-18, age >=53","S2"
"211","Brain Dysfnc,Mot 29-70,A<=54","S2"
"2110","Terminal, RUG-ADL 4-16","S2"
"2111","Terminal, RUG-ADL 17-18","S2"
"2112","Bereavement","S2"
"212","Brain Dysfunction, motor 14-28","S2"
"213","Neurological, motor 74-91","S2"
"214","Neurological, motor 41-73","S2"
"215","Neurological, motor 14-40","S2"
"216","Spnl Cord Dysfnc,Mot 81-91","S2"
"217","Spnl Cord Dysfnc,Mot 47-80","S2"
"218","Spnl Cord Dysfnc,Mot 14-46","S2"
"219","Amp of limb,Mot 66-91","S2"
"220","Amp of limb,Mot 47-65","S2"
"353","Treat, Acute Phase","S2"
"354","Treat,Oth Phases,HON Tot <=8","S2"
"355","Treat,Oth Phs,HON Tot 9-13","S2"
"356","Trt,Oth,HON Tot>=14, O'act 0,1","S2"
"357","Trt,Oth,HON Tot>=14,O'act 2-4","S2"
"3998","Ungroupable Psyco Geriatric Ambulatory","S2"
"3999","Ungroupable Psyco Geriatric Inpatient","S2"
"400","GEM assessment only","S2"
"401","Cognition<=15, motor 13-43","S2"
"402","Cog<=15,Mot 44-91,A>=84","S2"
"403","Cog<=15,Mot 44-91,A<=83","S2"
"404","Cognition 16-35, motor 13-50","S2"
"405","Cognition 16-35, motor 51-77","S2"
"406","Cognition 16-35, motor 78-91","S2"
"451","Assessment Only","S2"
"452","Assess, Medical Only","S2"
"453","Assess, Multidisciplinary","S2"
"454","All Sameday","S2"
"455","FIM Motor <=40","S2"
"456","FIM Motor 41-56","S2"
"457","FIM Mot>=57,Sole Practitioner","S2"
"458","FIM Mot>=57,Mult","S2"
"4998","Ungroupable GEM Ambulatory","S2"
"P67C","NEO,WT>=2500G-OR/V,<37WKS,INTC","8.0"
"P67D","NEO,WT>=2500G-OR/V,<37WKS,MINC","8.0"
"P68A","NEO,W>=2500G-OR/V,>=37WKS,EXTC","8.0"
"P68B","NEO,W>=2500G-OR/V,>=37WKS,MAJC","8.0"
"P68C","NEO,W>=2500G-OR/V,>=37WKS,INTC","8.0"
"P68D","NEO,W>=2500G-OR/V,>=37WKS,MINC","8.0"
"Q01A","SPLENECTOMY, MAJC","8.0"
"Q01B","SPLENECTOMY, MINC","8.0"
"Q02A","BLD&IMM SYS DIS+OTH OR PR,MAJC","8.0"
"Q02B","BLD&IMM SYS DIS+OTH OR PR,MINC","8.0"
"Q60A","RETICLENDO&IMMUNITY DIS, MAJC","8.0"
"Q60B","RETICLENDO&IMMUNITY DIS, MINC","8.0"
"Q61A","RED BLOOD CELL DISORDERS, MAJC","8.0"
"Q61B","RED BLOOD CELL DISORDERS, INTC","8.0"
"Q61C","RED BLOOD CELL DISORDERS, MINC","8.0"
"Q62A","COAGULATION DISORDERS, MAJC","8.0"
"Q62B","COAGULATION DISORDERS, MINC","8.0"
"R01A","LYMPHMA&LEUKMA+MJR OR PR, MAJC","8.0"
"R01B","LYMPHMA&LEUKMA+MJR OR PR, MINC","8.0"
"U63B","MAJOR AFFECTIVE DIS, MINC","8.0"
"U64A","OTH AFFECT&SOMATOFRM DIS, MAJC","8.0"
"U64B","OTH AFFECT&SOMATOFRM DIS, MINC","8.0"
"U65A","ANXIETY DISORDERS, MAJC","8.0"
"U65B","ANXIETY DISORDERS, MINC","8.0"
"U66A","EATNG&OBSESSV-COMPLSV DIS,MAJC","8.0"
"U66B","EATNG&OBSESSV-COMPLSV DIS,MINC","8.0"
"U67A","PERSONLTY DIS&ACUTE REACT,MAJC","8.0"
"U67B","PERSONLTY DIS&ACUTE REACT,MINC","8.0"
"U68A","CHILDHOOD MENTAL DIS, MAJC","8.0"
"U68B","CHILDHOOD MENTAL DIS, MINC","8.0"
"V60A","ALCOHOL INTOX & WITHDRWL, MAJC","8.0"
"V60B","ALCOHOL INTOX & WITHDRWL, MINC","8.0"
"V61A","DRUG INTOXN&WITHDRAWAL, MAJC","8.0"
"V61B","DRUG INTOXN&WITHDRAWAL, MINC","8.0"
"V62A","ALCOHOL USE & DEPENDENCE, MAJC","8.0"
"V62B","ALCOHOL USE & DEPENDENCE, MINC","8.0"
"V63Z","OPIOID USE & DEPENDENCE","8.0"
"V64Z","OTHER DRUG USE & DEPENDENCE","8.0"
"V65Z","TREATMT FOR ALCOHOL DIS, SD","8.0"
"V66Z","TREATMT FOR DRUG DIS, SD","8.0"
"W01A","VENT/TRACH/CRA PR FOR MT, MAJC","8.0"
"W01B","VENT/TRACH/CRA PR FOR MT, INTC","8.0"
"W01C","VENT/TRACH/CRA PR FOR MT, MINC","8.0"
"W02A","HIP,FMR&LWR LMB PR FOR MT,MAJC","8.0"
"W02B","HIP,FMR&LWR LMB PR FOR MT,MINC","8.0"
"W03Z","ABDOMINAL PR MULT SIG TRAUMA","8.0"
"W04A","MULT SIG TRAUMA+OTH OR PR,MAJC","8.0"
"W04B","MULT SIG TRAUMA+OTH OR PR,MINC","8.0"
"W60A","MULT SIG TRAUMA, D/TR<5D, MAJC","8.0"
"W60B","MULT SIG TRAUMA, D/TR<5D, MINC","8.0"
"W61A","MULT SIG TRAUMA -OR PR, MAJC","8.0"
"W61B","MULT SIG TRAUMA -OR PR, MINC","8.0"
"X02A","MVSCLR TT/SKN GR INJ HAND,MAJC","8.0"
"X02B","MVSCLR TT/SKN GR INJ HAND,MINC","8.0"
"X04A","OTH PR INJURIES LWR LIMB, MAJC","8.0"
"X04B","OTH PR INJURIES LWR LIMB, MINC","8.0"
"X05A","OTH PR FOR INJ TO HAND, MAJC","8.0"
"X05B","OTH PR FOR INJ TO HAND, MINC","8.0"
"X06A","OTH PR FOR OTH INJURIES, MAJC","8.0"
"X06B","OTH PR FOR OTH INJURIES, INTC","8.0"
"X06C","OTH PR FOR OTH INJURIES, MINC","8.0"
"X07A","SKIN GRAFT, INJ EXCL HAND,MAJC","8.0"
"X07B","SKIN GRAFT, INJ EXCL HAND,INTC","8.0"
"X07C","SKIN GRAFT, INJ EXCL HAND,MINC","8.0"
"X40A","INJ,POIS,TOX EF+VENT SUPP,MAJC","8.0"
"X40B","INJ,POIS,TOX EF+VENT SUPP,MINC","8.0"
"X60A","INJURIES, MAJC","8.0"
"X60B","INJURIES, MINC","8.0"
"X61A","ALLERGIC REACTIONS, MAJC","8.0"
"X61B","ALLERGIC REACTIONS, MINC","8.0"
"X62A","POISON/TOXIC EFF DRUGS, MAJC","8.0"
"X62B","POISON/TOXIC EFF DRUGS, MINC","8.0"
"X63A","SEQUELAE OF TREATMENT, MAJC","8.0"
"X63B","SEQUELAE OF TREATMENT, MINC","8.0"
"X64A","OTH INJ,POIS&TOXIC EFFCTS,MAJC","8.0"
"X64B","OTH INJ,POIS&TOXIC EFFCTS,MINC","8.0"
"Y01Z","VENT/TRACH/OR PR SEV BURN","8.0"
"Y02A","SKIN GRAFT OTHER BURNS, MAJC","8.0"
"Y02B","SKIN GRAFT OTHER BURNS, INTC","8.0"
"2201","Admit for assessment only","S2"
"2202","Brain,Neuro,Spine & MMT,FIM 13","S2"
"2203","All other impairments, FIM 13","S2"
"2204","Stroke ,Mot 63-91,Cog 20-35","S2"
"2205","Stroke ,Mot 63-91,Cog 5-19","S2"
"2206","Stroke, motor 47-62, cog 16-35","S2"
